OLD_ADDR,longitude,latitude,SBWY_ROUT_LN,SBWY_STNS_NM,ROAD_NM_ADDR,TELNO
서울특별시 구로구 신도림동 323-16 도림천역(2호선),126.88295084907824,37.514290417674935,2호선,도림천,서울특별시 구로구 경인로67길 160(신도림동),02-6110-2441
서울특별시 양천구 신정동 276-7 양천구청역(2호선),126.86572204469863,37.51255816129711,2호선,양천구청,서울특별시 양천구 목동로3길 지하33(신정동),02-6110-2451
서울특별시 양천구 신정동 1231 신정네거리역(2호선),126.85362828555401,37.51833134731362,2호선,신정네거리,서울특별시 양천구 중앙로 지하261(신정동),02-6110-2461
서울특별시 동대문구 용두동 47-1 용두역(2호선),127.03819390642585,37.57596645849121,2호선,용두(동대문구청),서울특별시 동대문구 천호대로 지하129(용두동),02-6110-1361
경기도 고양시 덕양구 지축동 818-64 지축역(3호선),126.91083271312485,37.64884663441474,3호선,지축,경기도 고양시 덕양구 삼송로 300(지축동),02-6110-3191
서울특별시 은평구 진관동 67-26 구파발역(3호선),126.91881198956952,37.637150819361246,3호선,구파발,서울특별시 은평구 진관2로 지하15-25 (진관동),02-6110-3201
서울특별시 은평구 갈현동 397 연신내역(3호선),126.92088141647224,37.61900148871485,3호선,연신내,서울특별시 은평구 통일로 지하849(갈현동),02-6110-3211
서울특별시 은평구 대조동 13-10 불광역(3호선),126.92986668889455,37.61039440840224,3호선,불광,서울특별시 은평구 통일로 지하723-1(대조동),02-6110-3221
서울특별시 은평구 녹번동 55 녹번역(3호선),126.9359828053225,37.60087917563577,3호선,녹번,서울특별시 은평구 통일로 지하602-1(녹번동),02-6110-3231
서울특별시 서대문구 홍제동 161-1 홍제역(3호선),126.94584268614528,37.58731668135229,3호선,홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),02-6110-3241
서울특별시 서대문구 홍제동 26-1 무악재역(3호선),126.9505757623475,37.58241916216521,3호선,무악재,서울특별시 서대문구 통일로 지하361(홍제동),02-6110-3251
서울특별시 서대문구 현저동 101 독립문역(3호선),126.95603980867767,37.574481164230804,3호선,독립문,서울특별시 서대문구 통일로 지하247(현저동),02-6110-3261
서울특별시 종로구 적선동 81-1 경복궁역(3호선),126.97320483919052,37.57576206727056,3호선,경복궁(정부서울청사),서울특별시 종로구 사직로 지하130(적선동),02-6110-3271
서울특별시 종로구 안국동 73-1 안국역(3호선),126.98508959164447,37.57702260125815,3호선,안국,서울특별시 종로구 율곡로 지하62(안국동),02-6110-3281
서울특별시 종로구 묘동 20-5 종로3가역(3호선),126.99190170663617,37.571450698745714,3호선,종로3가,서울특별시 종로구 돈화문로 지하30(묘동),02-6110-3291
서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),126.9936822607441,37.56640240930581,3호선,을지로3가,서울특별시 중구 을지로 지하129(을지로3가),02-6110-3301
서울특별시 중구 필동2가 16-2 충무로역(3호선),126.9944755023148,37.56120906404675,3호선,충무로,서울특별시 중구 퇴계로 지하214(필동2가),02-6110-4231
서울특별시 중구 장충동2가 199-3 동대입구역(3호선),127.00529745806693,37.55925834356843,3호선,동대입구,서울특별시 중구 동호로 지하256(장충동2가),02-6110-3321
서울특별시 중구 신당동 369-44 약수역(3호선),127.01091834279731,37.554439745474085,3호선,약수,서울특별시 중구 다산로 지하122(신당동),02-6110-3331
서울특별시 성동구 금호동4가 1470 금호역(3호선),127.01577026479131,37.548165660159896,3호선,금호,서울특별시 성동구 동호로 지하104(금호동4가),02-6110-3341
서울특별시 성동구 옥수동 168-1 옥수역(3호선),127.01722404470951,37.539920078540305,3호선,옥수,서울특별시 성동구 동호로 21(옥수동),02-6110-3351
서울특별시 강남구 신사동 668 압구정역(3호선),127.02830752058232,37.52356009931247,3호선,압구정,서울특별시 강남구 압구정로 지하172(신사동),02-6110-3361
서울특별시 강남구 신사동 667 신사역(3호선),127.01881616709886,37.51897154781347,3호선,신사,서울특별시 강남구 도산대로 지하102(신사동),02-6110-3371
서울특별시 서초구 잠원동 100-1 잠원역(3호선),127.01174548067499,37.51306289209155,3호선,잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),02-6110-3381
서울특별시 서초구 반포동 19-11 고속터미널역(3호선),127.00475326349047,37.505182733224444,3호선,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),02-6110-3391
서울특별시 서초구 서초동 1748-4 교대역(3호선),127.01732110864319,37.494869355779116,3호선,"교대(법원, 검찰청)",서울특별시 서초구 서초대로 지하294(서초동),02-6110-3401
서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),127.015296902816,37.486594550622534,3호선,남부터미널(예술의전당),서울특별시 서초구 서초중앙로 지하31(서초동),02-6110-3411
